"id";"price";"rent";"area";"price_per_sq_m";"no_rooms";"building_type";"no_floor";"building_floors_num";"windows_type";"construction_status";"building_ownership";"lat";"long";"district";"built_year";"url";"rent_per_sq_m";"lift";"balcony";"garage";"basement";"separate_kitchen";"usable_room";"air_conditioning";"terrace";"garden";"two_storey";"is_primary";"date_scraped"
4776068462971152515;1397000.0;906.0;59.0;23678.0;3;"Apartment";1;3;"Plastic";"Ready To Use";"Full Ownership";52.227163151329;21.065637841651;"Praga-Poludnie";2010;"https://www.otodom.pl/pl/oferta/saska-kepa3-pok-59-mtaras-52-m-bezposrednio-ID4z1Uv";15.35593220338983;1;1;1;0;0;0;0;1;0;0;0;"2026-01-01"
579619881669245382;820000.0;707.0;54.9;14936.0;2;"Block";0;4;"Unknown";"Ready To Use";"Full Ownership";52.249012824488;21.100865490491;"Praga-Poludnie";2013;"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-tarasem-z-mozliwoscia-aranzacji-3-pokoju-ID4q5Tg";12.877959927140255;1;0;1;0;0;0;0;1;1;0;0;"2026-01-01"
-8195475349353937123;2130000.0;1000.0;87.0;24483.0;4;"Apartment";2;6;"Unknown";"Ready To Use";"Full Ownership";52.25226625;21.06877552;"Praga-Poludnie";2024;"https://www.otodom.pl/pl/oferta/kamionek-nowe-4-pokoje-3-balkony-ID4yT0z";11.494252873563218;1;1;0;0;0;0;0;0;0;0;0;"2026-01-01"
-5878420349671385639;600000.0;500.0;31.09;19299.0;2;"Block";1;2;"Unknown";"Ready To Use";"Full Ownership";52.2443703;21.0969269;"Praga-Poludnie";1957;"https://www.otodom.pl/pl/oferta/dwa-pokoje-z-balkonem-na-pradze-poludnie-ID4yKQ7";16.08234158893535;0;0;0;1;0;0;0;0;0;0;0;"2026-01-01"
-983149730306141849;699000.0;1100.0;61.2;11422.0;3;"Block";1;4;"Unknown";"To Renovation";"Full Ownership";52.22603;21.10544;"Praga-Poludnie";1982;"https://www.otodom.pl/pl/oferta/3-pokoje-61mkw-goclaw-cicha-zielona-okolica-ID4rtYT";17.973856209150327;0;1;1;1;1;1;0;0;0;0;0;"2026-01-01"
7158741773756803884;950000.0;;52.0;18269.0;2;"Block";1;4;"Plastic";"Ready To Use";"Unknown";52.227545;21.107374;"Praga-Poludnie";1999;"https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-na-pradze-poludnie-ID4znk0";;1;1;0;0;0;0;0;0;0;0;0;"2026-01-01"
3214649721280786479;549000.0;612.0;36.38;15091.0;2;"Block";4;4;"Plastic";"Unknown";"Full Ownership";52.23612;21.09006;"Praga-Poludnie";1964;"https://www.otodom.pl/pl/oferta/jasne-2-pok-z-loggia-i-oknami-w-kuchni-i-lazience-grochow-ID4zdmB";16.822429906542055;0;1;1;1;0;0;0;0;0;0;0;"2026-01-01"
-3933312511158582858;917000.0;;46.15;19870.0;2;"Apartment";6;12;"Plastic";"Ready To Use";"Full Ownership";52.249702;21.0647818;"Praga-Poludnie";2015;"https://www.otodom.pl/pl/oferta/prestizowy-apartament-na-kamionku-2-pokoje-ul-minska-25-c-ID4yRmg";;1;1;1;0;0;1;0;0;0;0;0;"2026-01-01"
-2155004343565073002;847000.0;700.0;47.67;17768.0;2;"Block";1;10;"Unknown";"Ready To Use";"Full Ownership";52.227664;21.0614674;"Praga-Poludnie";1971;"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-saskiej-kepie-ID4yAHI";14.684287812041115;1;1;0;1;0;0;0;0;0;0;0;"2026-01-01"
-2595398905672364685;1250000.0;1200.0;78.5;15924.0;4;"Block";6;17;"Plastic";"Ready To Use";"Full Ownership";52.2340627;21.102957;"Praga-Poludnie";2005;"https://www.otodom.pl/pl/oferta/przestronne-4-pokojowe-mieszkanie-basen-sauna-m3-ID4znxH";15.286624203821656;0;1;1;0;0;0;0;0;0;0;0;"2026-01-01"
7568882725459431516;1346000.0;964.0;73.1;18413.0;3;"Tenement";4;4;"Unknown";"Ready To Use";"Full Ownership";52.2473881;21.0549781;"Praga-Poludnie";2012;"https://www.otodom.pl/pl/oferta/dwupoziomowe-kamienica-parking-park-skaryszewski-ID4znXv";13.187414500683996;1;1;0;0;0;0;0;0;0;0;0;"2026-01-01"
5595510533738810881;868000.0;1070.0;74.0;11730.0;3;"Block";5;8;"Plastic";"To Renovation";"Limited Ownership";52.2247236;21.0862151;"Praga-Poludnie";1983;"https://www.otodom.pl/pl/oferta/3-pokoje-super-uklad-jasna-kuchnia-goclaw-ID4ycHs";14.45945945945946;1;1;0;1;1;0;0;0;0;0;0;"2026-01-01"
-8063912560680805318;459000.0;600.0;31.0;14806.0;1;"Unknown";10;11;"Unknown";"Unknown";"Limited Ownership";52.2469707;21.09747;"Praga-Poludnie";1980;"https://www.otodom.pl/pl/oferta/kawalerka-w-sercu-grochowa-ID4yx9V";19.35483870967742;1;1;0;1;0;0;0;0;0;0;0;"2026-01-01"
7293479392961488426;785296.0;;42.45;18499.0;2;"Block";3;4;"Plastic";"To Completion";"Unknown";52.252098;21.0741978;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/praga-poludnie-przytulne-2-pok-ID4yP9q";;0;0;0;0;0;0;0;0;0;0;0;"2026-01-01"
3140962068365188025;645000.0;;34.0;18971.0;2;"Block";4;4;"Unknown";"Unknown";"Full Ownership";52.2480286;21.0845071;"Praga-Poludnie";2010;"https://www.otodom.pl/pl/oferta/ciche-widne-z-duzym-balkonem-winda-garaz-i-komorka-park-ID4ydXK";;1;1;1;1;0;0;0;0;0;0;0;"2026-01-01"
-3072583991966159375;999400.0;700.0;65.86;15175.0;4;"Block";3;5;"Plastic";"To Completion";"Full Ownership";52.251347;21.0624242;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/dwustronne-4-pokojowe-bez-prowizji-msc-parkingowe-ID4yAuz";10.628606134224112;1;1;1;0;0;0;0;0;0;0;1;"2026-01-01"
6575483196864560809;1100000.0;834.0;58.21;18897.0;3;"Apartment";3;6;"Plastic";"Ready To Use";"Full Ownership";52.2522663;21.0687755;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-3-pokoje-na-pradze-poludnie-ID4zhjJ";14.327435148599896;1;1;1;0;0;0;0;0;0;0;0;"2026-01-01"
-740970270659460177;710000.0;755.0;47.43;14969.0;3;"Block";7;10;"Plastic";"Ready To Use";"Full Ownership";52.24844539356;21.057221234394;"Praga-Poludnie";1969;"https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-47-43-m-bezposrednio-praga-poludnie-kamionek-ID4y6vx";15.918195235083282;1;1;0;1;1;0;0;0;0;0;0;"2026-01-01"
1964471700207046367;899000.0;1170.0;67.55;13309.0;3;"Block";3;8;"Plastic";"Ready To Use";"Limited Ownership";52.2258517;21.0914925;"Praga-Poludnie";1982;"https://www.otodom.pl/pl/oferta/3-pokoje-duzy-balkon-salamandry-3-goclaw-ID4z8K8";17.320503330866025;1;1;0;1;1;1;0;0;0;0;0;"2026-01-01"
3438395689561678169;870000.0;1100.0;71.4;12185.0;3;"Block";3;4;"Unknown";"To Renovation";"Full Ownership";52.232789;21.1031152;"Praga-Poludnie";1994;"https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-goclaw-promenada-ID4z7JG";15.406162464985993;0;0;0;1;0;0;0;0;0;0;0;"2026-01-01"
8296435179717880788;920000.0;1200.0;63.6;14465.0;2;"Block";6;9;"Plastic";"Ready To Use";"Limited Ownership";52.2262881;21.0896083;"Praga-Poludnie";1981;"https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-2-pokoje-na-goclawiu-ID4yl3d";18.867924528301888;1;1;0;1;1;0;0;0;0;0;0;"2026-01-01"
-8813528585969523731;1268279.0;;92.58;13699.0;4;"Block";1;4;"Plastic";"To Completion";"Unknown";52.252098;21.0741978;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-na-pradze-ID4yP9t";;0;0;0;0;0;0;0;0;0;0;0;"2026-01-01"
-1553557199142457344;969000.0;465.0;59.0;16424.0;3;"Unknown";1;6;"Plastic";"Unknown";"Full Ownership";52.240415;21.10829;"Praga-Poludnie";2024;"https://www.otodom.pl/pl/oferta/nowy-budynek-balkon-garaz-komorka-park-ID4zePN";7.88135593220339;1;1;1;1;0;0;0;0;0;0;0;"2026-01-01"
3949229480183319118;880000.0;;58.0;15172.0;3;"Apartment";2;5;"Unknown";"Ready To Use";"Full Ownership";52.2502;21.06466;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/garaz-1-000zl-promocja-od-dewelopera-ID4zmZ2";;1;1;1;0;0;1;0;0;0;0;1;"2026-01-01"
9036354930322190482;860000.0;1000.0;59.7;14405.0;2;"Block";0;10;"Plastic";"Ready To Use";"Limited Ownership";52.2253021;21.0857166;"Praga-Poludnie";1983;"https://www.otodom.pl/pl/oferta/goclaw-2-pokoje-duza-loggia-garderoba-ID4zeM6";16.75041876046901;1;0;0;1;1;0;0;0;0;0;0;"2026-01-01"
5133330034817952095;1299000.0;798.0;59.2;21943.0;3;"Tenement";0;3;"Unknown";"Ready To Use";"Full Ownership";52.2488482;21.0647816;"Praga-Poludnie";1932;"https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-piekne-kamieniczne-mieszkanie-po-remoncie-ID4zncD";13.47972972972973;0;0;0;0;0;0;0;0;0;0;0;"2026-01-01"
8649808888697542577;1199000.0;1000.0;80.7;14857.0;3;"Block";2;4;"Wooden";"Ready To Use";"Limited Ownership";52.2290611;21.1011427;"Praga-Poludnie";1997;"https://www.otodom.pl/pl/oferta/3-pokoje-81-m2-warszawa-praga-poludnie-ID4zmsI";12.391573729863692;0;1;1;1;0;0;0;0;0;0;0;"2026-01-01"
8295966393622522118;660000.0;;39.0;16923.0;2;"Apartment";2;5;"Unknown";"Ready To Use";"Full Ownership";52.25317;21.06623;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/od-dewelopera-garaz-5k-klucze-w-tym-roku-ID4zmZ3";;1;1;1;0;0;1;0;0;0;0;1;"2026-01-01"
